rides_in_thousands,start_station_name,member_casual
14.262,Clark St & Lincoln Ave,member
10.313,Clark St & Lincoln Ave,casual
1.461,Clark St & Lunt Ave,casual
2.535,Clark St & Lunt Ave,member
2.601,Clark St & Montrose Ave,casual
4.9,Clark St & Montrose Ave,member
7.206,Clark St & Newport St,casual
10.242,Clark St & Newport St,member
5.155,Clark St & North Ave,casual
6.691,Clark St & North Ave,member
0.032,Clark St & Randolph St,casual
0.258,Clark St & Randolph St,member
6.157,Clark St & Schiller St,casual
11.728,Clark St & Schiller St,member
1.002,Clark St & Schreiber Ave,casual
1.804,Clark St & Schreiber Ave,member
0.633,Clark St & Touhy Ave,member
0.348,Clark St & Touhy Ave,casual
4.454,Clark St & Wellington Ave,casual
9.346,Clark St & Wellington Ave,member
9.543,Clark St & Winnemac Ave,member
4.77,Clark St & Winnemac Ave,casual
6.564,Clark St & Wrightwood Ave,casual
13.365,Clark St & Wrightwood Ave,member
7.734,Clifton Ave & Armitage Ave,member
3.145,Clifton Ave & Armitage Ave,casual
2.109,Clinton St & 18th St,member
1.287,Clinton St & 18th St,casual
20.048,Clinton St & Jackson Blvd,member
6.188,Clinton St & Jackson Blvd,casual
15.13,Clinton St & Lake St,member
5.15,Clinton St & Lake St,casual
8.026,Clinton St & Madison St,casual
24.573,Clinton St & Madison St,member
0.59,Clinton St & Polk St,member
0.619,Clinton St & Polk St,casual
2.586,Clinton St & Roosevelt Rd,casual
4.31,Clinton St & Roosevelt Rd,member
5.04,Clinton St & Tilden St,member
1.891,Clinton St & Tilden St,casual
27.44,Clinton St & Washington Blvd,member
6.708,Clinton St & Washington Blvd,casual
4.017,Clybourn Ave & Division St,member
1.339,Clybourn Ave & Division St,casual
0.069,Clyde Ave & 87th St,casual
0.015,Clyde Ave & 87th St,member
0.011,Columbus Ave & 79th St,member
0.086,Columbus Ave & 79th St,casual
0.012,Columbus Ave & 83rd Pl,member
0.024,Columbus Ave & 83rd Pl,casual
9.27,Columbus Dr & Randolph St,casual
13.033,Columbus Dr & Randolph St,member
0.02,Commercial Ave & 100th St,member
0.023,Commercial Ave & 100th St,casual
0.01,Commercial Ave & 130th St,member
0.111,Commercial Ave & 130th St,casual
0.073,Commercial Ave & 83rd St,casual
0.137,Commercial Ave & 83rd St,member
0.012,Commercial Ave & 90th St,casual
0.009,Commercial Ave & 90th St,member
0.01,Commercial Ave & 97th St,casual
0.031,Commercial Ave & 97th St,member
0.235,Conservatory Dr & Lake St,member
0.323,Conservatory Dr & Lake St,casual
0.055,Constance Ave & 95th St,casual
0.028,Constance Ave & 95th St,member
2.575,Cornell Ave & Hyde Park Blvd,casual
5.63,Cornell Ave & Hyde Park Blvd,member
0.043,Cottage Grove Ave & 111th Pl,casual
0.055,Cottage Grove Ave & 111th Pl,member
0.33,Cottage Grove Ave & 43rd St,casual
0.524,Cottage Grove Ave & 43rd St,member
0.218,Cottage Grove Ave & 47th St,casual
0.807,Cottage Grove Ave & 47th St,member
0.391,Cottage Grove Ave & 51st St,casual
0.643,Cottage Grove Ave & 51st St,member
0.757,Cottage Grove Ave & 63rd St,member
0.391,Cottage Grove Ave & 63rd St,casual
0.227,Cottage Grove Ave & 67th St,member
0.243,Cottage Grove Ave & 67th St,casual
0.027,Cottage Grove Ave & 71st St,member
0.051,Cottage Grove Ave & 71st St,casual
0.026,Cottage Grove Ave & 78th St,casual
0.022,Cottage Grove Ave & 78th St,member
0.047,Cottage Grove Ave & 83rd St,casual
0.157,Cottage Grove Ave & 83rd St,member
0.363,Cottage Grove Ave & Oakwood Blvd,member
0.551,Cottage Grove Ave & Oakwood Blvd,casual
0.001,Cumberland Ave & Catherine Ave,casual
15.207,Daley Center Plaza,member
6.29,Daley Center Plaza,casual
0.024,Damen Ave & 33rd St,casual
0.03,Damen Ave & 33rd St,member
0.015,Damen Ave & 51st St,member
0.031,Damen Ave & 51st St,casual
0.028,Damen Ave & 59th St,member
0.036,Damen Ave & 59th St,casual
0.025,Damen Ave & 74th St,member
0.052,Damen Ave & 74th St,casual
0.004,Damen Ave & 77th St,member
0.008,Damen Ave & 77th St,casual
0.06,Damen Ave & 81st St,casual
0.025,Damen Ave & 81st St,member
0.083,Damen Ave & 87th St,casual
0.03,Damen Ave & 87th St,member
2.098,Damen Ave & Charleston St,casual
3.557,Damen Ave & Charleston St,member
3.108,Damen Ave & Chicago Ave,casual
6.978,Damen Ave & Chicago Ave,member
3.203,Damen Ave & Clybourn Ave,member
1.414,Damen Ave & Clybourn Ave,casual
7.085,Damen Ave & Cortland St,member
4.351,Damen Ave & Cortland St,casual
